date,forecast_units_sales,forecast_units_returns,actual_forecast
2024-07-01,2.47957409125069,0.0043763676082196,2.4751977236424705
2024-07-02,2.950400752342961,0.0043763676082196,2.9460243847347414
2024-07-03,2.4743705642311857,0.0043763676082196,2.469994196622966
2024-07-04,3.56394314437322,0.0043763676082196,3.5595667767650006
2024-07-05,3.7852749054275487,0.0043763676082196,3.780898537819329
2024-07-06,3.5599512711630963,0.0043763676082196,3.5555749035548767
2024-07-07,4.038437091446808,0.0043763676082196,4.034060723838588
2024-07-08,4.142323469952689,0.0043763676082196,4.137947102344469
2024-07-09,4.036196166548557,0.0043763676082196,4.031819798940337
2024-07-10,4.246188992615129,0.0043763676082196,4.241812625006909
2024-07-11,4.294876575185649,0.0043763676082196,4.290500207577429
2024-07-12,4.245108878706906,0.0043763676082196,4.2407325110986855
2024-07-13,4.337206905570316,0.0043763676082196,4.332830537962096
2024-07-14,4.359991250342585,0.0043763676082196,4.355614882734365
2024-07-15,4.336743812734342,0.0043763676082196,4.332367445126122
2024-07-16,4.3771077907425004,0.0043763676082196,4.37273142313428
2024-07-17,4.387754822453505,0.0043763676082196,4.3833784548452845
2024-07-18,4.37693345848236,0.0043763676082196,4.37255709087414
2024-07-19,4.394610999558326,0.0043763676082196,4.390234631950106
2024-07-20,4.399579321716258,0.0043763676082196,4.395202954108038
2024-07-21,4.394558059394981,0.0043763676082196,4.390181691786761
2024-07-22,4.402294115621618,0.0043763676082196,4.397917748013398
2024-07-23,4.404609355345517,0.0043763676082196,4.400232987737297
2024-07-24,4.402286135422012,0.0043763676082196,4.397909767813792
2024-07-25,4.405668900794505,0.0043763676082196,4.401292533186285
2024-07-26,4.406746365575024,0.0043763676082196,4.402369997966804
2024-07-27,4.405674306246485,0.0043763676082196,4.401297938638265
2024-07-28,4.407152264495084,0.0043763676082196,4.4027758968868635
