date,forecast_units_sales,forecast_units_returns,actual_forecast
2024-07-01,2.196047128594368,0.0506329104861346,2.1454142181082334
2024-07-02,2.497361086936743,0.0506329104861346,2.446728176450608
2024-07-03,2.5387035974456422,0.0506329104861346,2.4880706869595075
2024-07-04,2.544376096604265,0.0506329104861346,2.49374318611813
2024-07-05,2.545154405572649,0.0506329104861346,2.494521495086514
2024-07-06,2.545261195337324,0.0506329104861346,2.4946282848511894
2024-07-07,2.5452758476853017,0.0506329104861346,2.494642937199167
2024-07-08,2.545277858096149,0.0506329104861346,2.494644947610014
2024-07-09,2.545278133939432,0.0506329104861346,2.4946452234532974
2024-07-10,2.545278171787177,0.0506329104861346,2.4946452613010424
2024-07-11,2.5452781769801684,0.0506329104861346,2.4946452664940337
2024-07-12,2.5452781776926856,0.0506329104861346,2.494645267206551
2024-07-13,2.5452781777904483,0.0506329104861346,2.4946452673043136
2024-07-14,2.545278177803862,0.0506329104861346,2.4946452673177273
2024-07-15,2.5452781778057023,0.0506329104861346,2.4946452673195676
2024-07-16,2.545278177805955,0.0506329104861346,2.4946452673198203
2024-07-17,2.5452781778059896,0.0506329104861346,2.494645267319855
2024-07-18,2.5452781778059945,0.0506329104861346,2.49464526731986
2024-07-19,2.545278177805995,0.0506329104861346,2.4946452673198602
2024-07-20,2.545278177805995,0.0506329104861346,2.4946452673198602
2024-07-21,2.545278177805995,0.0506329104861346,2.4946452673198602
2024-07-22,2.545278177805995,0.0506329104861346,2.4946452673198602
2024-07-23,2.545278177805995,0.0506329104861346,2.4946452673198602
2024-07-24,2.545278177805995,0.0506329104861346,2.4946452673198602
2024-07-25,2.545278177805995,0.0506329104861346,2.4946452673198602
2024-07-26,2.545278177805995,0.0506329104861346,2.4946452673198602
2024-07-27,2.545278177805995,0.0506329104861346,2.4946452673198602
2024-07-28,2.545278177805995,0.0506329104861346,2.4946452673198602
