date,forecast_units
2024-07-01,0.008095706770437992
2024-07-02,0.008062953884981487
2024-07-03,0.009507473630818289
2024-07-04,0.0094413422658641
2024-07-05,0.010447793846309585
2024-07-06,0.010371600588987152
2024-07-07,0.011073737438714149
2024-07-08,0.010999681288235353
2024-07-09,0.01149014455586062
2024-07-10,0.011423927698541357
2024-07-11,0.01176696553550544
2024-07-12,0.011710624704227821
2024-07-13,0.011950851816295587
2024-07-14,0.011904464203818393
2024-07-15,0.01207290172410372
2024-07-16,0.012035589931037937
2024-07-17,0.012153835166107931
2024-07-18,0.012124340853474934
2024-07-19,0.012207449555962306
2024-07-20,0.012184445833112179
2024-07-21,0.0122429270535721
2024-07-22,0.01222517582741666
2024-07-23,0.012266374339313308
2024-07-24,0.01225279423681535
2024-07-25,0.01228184978612884
2024-07-26,0.012271534593970679
2024-07-27,0.012292048373167063
2024-07-28,0.012284259856303194
