date,forecast_units
2024-07-01,0.041418239718324645
2024-07-02,0.037083582843444825
2024-07-03,0.0375372296027162
2024-07-04,0.03748975286161818
2024-07-05,0.037494721575489096
2024-07-06,0.03749420157102038
2024-07-07,0.03749425599247722
2024-07-08,0.03749425029695893
2024-07-09,0.03749425089302766
2024-07-10,0.03749425083064564
2024-07-11,0.03749425083717428
2024-07-12,0.03749425083649102
2024-07-13,0.03749425083656253
2024-07-14,0.03749425083655504
2024-07-15,0.037494250836555824
2024-07-16,0.03749425083655574
2024-07-17,0.03749425083655575
2024-07-18,0.03749425083655575
2024-07-19,0.03749425083655575
2024-07-20,0.03749425083655575
2024-07-21,0.03749425083655575
2024-07-22,0.03749425083655575
2024-07-23,0.03749425083655575
2024-07-24,0.03749425083655575
2024-07-25,0.03749425083655575
2024-07-26,0.03749425083655575
2024-07-27,0.03749425083655575
2024-07-28,0.03749425083655575
