date,forecast_units
2024-07-01,0.029865975671778938
2024-07-02,0.029135326050960444
2024-07-03,0.03381204640092765
2024-07-04,0.03358365849399987
2024-07-05,0.03431877558802432
2024-07-06,0.03426516484972354
2024-07-07,0.03438114859299454
2024-07-08,0.03436994830172209
2024-07-09,0.03438831481479909
2024-07-10,0.03438611833833062
2024-07-11,0.03438903709789336
2024-07-12,0.03438862306035158
2024-07-13,0.03438908849186718
2024-07-14,0.03438901251898295
2024-07-15,0.034389086981077226
2024-07-16,0.03438907330827317
2024-07-17,0.03438908525824019
2024-07-18,0.03438908283304834
2024-07-19,0.03438908475647507
2024-07-20,0.03438908433110992
2024-07-21,0.03438908464155485
2024-07-22,0.034389084567606594
2024-07-23,0.03438908461784253
2024-07-24,0.034389084605078224
2024-07-25,0.034389084613226886
2024-07-26,0.03438908461103641
2024-07-27,0.03438908461236112
2024-07-28,0.03438908461198702
