date,forecast_units
2024-06-01,1.7841881397967951
2024-06-02,1.7520610580962868
2024-06-03,1.7718213741398157
2024-06-04,1.8048881053586978
2024-06-05,1.8400556459597306
2024-06-06,1.8741520281648962
2024-06-07,1.9063573980502726
2024-06-08,1.9365354622852302
2024-06-09,1.9647438041809262
2024-06-10,1.9910904875638822
2024-06-11,2.0156923603061867
2024-06-12,2.038663206025822
2024-06-13,2.060110637787614
2024-06-14,2.0801355351368738
2024-06-15,2.098832205108957
2024-06-16,2.116288734274071
2024-06-17,2.1325873766895045
2024-06-18,2.1478049335276395
2024-06-19,2.162013112637474
2024-06-20,2.175278865758905
2024-06-21,2.1876647038110146
2024-06-22,2.1992289913969993
2024-06-23,2.2100262218127327
2024-06-24,2.2201072738252483
2024-06-25,2.229519651422437
2024-06-26,2.2383077076611544
2024-06-27,2.2465128536678076
2024-06-28,2.254173753776052
2024-06-29,2.2613265077210642
2024-06-30,2.2680048207489056
