date,forecast_units
2023-12-06,0.23333333260875166
2023-12-07,0.23333333260875166
2023-12-08,0.23333333260875166
2023-12-09,0.23333333260875166
2023-12-10,0.23333333260875166
2023-12-11,0.23333333260875166
2023-12-12,0.23333333260875166
2023-12-13,0.23333333260875166
2023-12-14,0.23333333260875166
2023-12-15,0.23333333260875166
2023-12-16,0.23333333260875166
2023-12-17,0.23333333260875166
2023-12-18,0.23333333260875166
2023-12-19,0.23333333260875166
2023-12-20,0.23333333260875166
2023-12-21,0.23333333260875166
2023-12-22,0.23333333260875166
2023-12-23,0.23333333260875166
2023-12-24,0.23333333260875166
2023-12-25,0.23333333260875166
2023-12-26,0.23333333260875166
2023-12-27,0.23333333260875166
2023-12-28,0.23333333260875166
2023-12-29,0.23333333260875166
2023-12-30,0.23333333260875166
2023-12-31,0.23333333260875166
2024-01-01,0.23333333260875166
2024-01-02,0.23333333260875166
2024-01-03,0.23333333260875166
2024-01-04,0.23333333260875166
