date,Item Id,TARGET
2024-07-01,B0BRCXQRC9,1.395978112
2024-07-02,B0BRCXQRC9,2.294893072
2024-07-03,B0BRCXQRC9,2.386158206
2024-07-04,B0BRCXQRC9,-1.001022163
2024-07-05,B0BRCXQRC9,-2.11705699
2024-07-06,B0BRCXQRC9,-3.06520815
2024-07-07,B0BRCXQRC9,-1.990339045
2024-07-08,B0BRCXQRC9,0.323917726
2024-07-09,B0BRCXQRC9,2.868110806
2024-07-10,B0BRCXQRC9,5.792626596
2024-07-11,B0BRCXQRC9,7.719318253
2024-07-12,B0BRCXQRC9,9.159781825
2024-07-13,B0BRCXQRC9,9.642564168
2024-07-14,B0BRCXQRC9,9.601924698
2024-07-15,B0BRCXQRC9,9.29754034
2024-07-16,B0BRCXQRC9,8.882730599
2024-07-17,B0BRCXQRC9,8.710192023
2024-07-18,B0BRCXQRC9,8.692098928
2024-07-19,B0BRCXQRC9,8.940764548
2024-07-20,B0BRCXQRC9,9.300109834
2024-07-21,B0BRCXQRC9,9.698994123
2024-07-22,B0BRCXQRC9,10.05627224
2024-07-23,B0BRCXQRC9,10.29095754
2024-07-24,B0BRCXQRC9,10.42252872
2024-07-25,B0BRCXQRC9,10.43948117
2024-07-26,B0BRCXQRC9,10.40143823
2024-07-27,B0BRCXQRC9,10.33869663
2024-07-28,B0BRCXQRC9,10.28795156
2024-07-01,B0CFV6V981,71.04892466
2024-07-02,B0CFV6V981,55.6230241
2024-07-03,B0CFV6V981,53.34443384
2024-07-04,B0CFV6V981,51.28954044
2024-07-05,B0CFV6V981,49.43638283
2024-07-06,B0CFV6V981,47.76515593
2024-07-07,B0CFV6V981,46.25799899
2024-07-08,B0CFV6V981,44.89880471
2024-07-09,B0CFV6V981,43.6730471
2024-07-10,B0CFV6V981,42.56762624
2024-07-11,B0CFV6V981,41.57072825
2024-07-12,B0CFV6V981,40.67169909
2024-07-13,B0CFV6V981,39.86093065
2024-07-14,B0CFV6V981,39.12975806
2024-07-15,B0CFV6V981,38.47036715
2024-07-16,B0CFV6V981,37.87571085
2024-07-17,B0CFV6V981,37.33943397
2024-07-18,B0CFV6V981,36.85580518
2024-07-19,B0CFV6V981,36.41965586
2024-07-20,B0CFV6V981,36.02632479
2024-07-21,B0CFV6V981,35.67160835
