date,forecast_units
2024-07-01,1.1960510232008852
2024-07-02,1.0938100488623625
2024-07-03,1.0101938653056233
2024-07-04,1.155500889528092
2024-07-05,1.1738902066219186
2024-07-06,1.1984606007710321
2024-07-07,1.0556047137818552
2024-07-08,1.0797266465052655
2024-07-09,1.092654269189085
2024-07-10,1.2080300919951945
2024-07-11,1.1440905618800445
2024-07-12,1.1194148435213525
2024-07-13,1.0443299386322156
2024-07-14,1.1336830520975885
2024-07-15,1.1482074844113455
2024-07-16,1.1832694509995172
2024-07-17,1.0877786795635283
2024-07-18,1.096330491810806
2024-07-19,1.0909458984470635
2024-07-20,1.1750345078533346
2024-07-21,1.1408964556650985
2024-07-22,1.1318962400787989
2024-07-23,1.07042765041029
2024-07-24,1.1240407955270435
2024-07-25,1.1325196472971573
2024-07-26,1.168223602652255
2024-07-27,1.1060881163123142
2024-07-28,1.1086516216587676
