date,actual_forecast
2024-07-01,6.494836012309344
2024-07-02,6.824240715317089
2024-07-03,6.7149321301514
2024-07-04,6.994115777022334
2024-07-05,7.011676997589396
2024-07-06,7.219535575550721
2024-07-07,7.2786720008926755
2024-07-08,7.432302731954785
2024-07-09,7.502115020232495
2024-07-10,7.618246997106625
2024-07-11,7.686609737494117
2024-07-12,7.776727819184067
2024-07-13,7.838945387368533
2024-07-14,7.910434680268761
2024-07-15,7.965038915897173
2024-07-16,8.0226856293029
2024-07-17,8.069651165939435
2024-07-18,8.11666886844228
2024-07-19,8.156587461685668
2024-07-20,8.195231377828279
2024-07-21,8.228916305650806
2024-07-22,8.26083879355993
2024-07-23,8.289136679897496
2024-07-24,8.315593689249868
2024-07-25,8.339299588262692
2024-07-26,8.36127346571478
2024-07-27,8.38109752256252
2024-07-28,8.39937283376228
