date,actual_forecast
2024-07-01,0.4493196870225339
2024-07-02,0.5886032774688568
2024-07-03,0.743313395257853
2024-07-04,0.9102517461350892
2024-07-05,0.986137669815565
2024-07-06,1.0206334784933075
2024-07-07,1.0363143947768318
2024-07-08,1.043442540047696
2024-07-09,1.046682813389116
2024-07-10,1.0481557591454314
2024-07-11,1.048825322781719
2024-07-12,1.049129689362169
2024-07-13,1.04926804665978
2024-07-14,1.049330940364384
2024-07-15,1.0493595302410808
2024-07-16,1.049372526471064
2024-07-17,1.049378434226301
2024-07-18,1.049381119741407
2024-07-19,1.0493823405081948
2024-07-20,1.049382895437693
2024-07-21,1.0493831476945132
2024-07-22,1.049383262364041
2024-07-23,1.049383314489888
2024-07-24,1.049383338184971
2024-07-25,1.0493833489561524
2024-07-26,1.0493833538524573
2024-07-27,1.0493833560781929
2024-07-28,1.0493833570899556
