date,actual_forecast
2024-07-01,2.2668106198244056
2024-07-02,2.5099400430749967
2024-07-03,2.7294407174908835
2024-07-04,2.9264222059339766
2024-07-05,3.1028910729309334
2024-07-06,3.260905190819076
2024-07-07,3.4023743489610223
2024-07-08,3.529025692208789
2024-07-09,3.642409930377316
2024-07-10,3.74391648552772
2024-07-11,3.83478952714247
2024-07-12,3.9161429661989073
2024-07-13,3.9889740433489056
2024-07-14,4.054175536183237
2024-07-15,4.112546698676891
2024-07-16,4.164803057481997
2024-07-17,4.211585182719288
2024-07-18,4.253466540154148
2024-07-19,4.290960520848847
2024-07-20,4.324526734420172
2024-07-21,4.354576643035789
2024-07-22,4.381478605209361
2024-07-23,4.405562391221676
2024-07-24,4.427123225518614
2024-07-25,4.446425405638564
2024-07-26,4.463705542030869
2024-07-27,4.479175458479739
2024-07-28,4.493024788687665
