date,actual_forecast
2024-07-01,1.6974284735957452
2024-07-02,2.51935017003068
2024-07-03,2.693335644295593
2024-07-04,2.840921010703867
2024-07-05,2.9661121536420385
2024-07-06,3.072307114914887
2024-07-07,3.162388326213607
2024-07-08,3.238800846466764
2024-07-09,3.303618727657068
2024-07-10,3.358601310460005
2024-07-11,3.4052409777272232
2024-07-12,3.4448036619793103
2024-07-13,3.4783632063959247
2024-07-14,3.506830511957764
2024-07-15,3.5309782618762617
2024-07-16,3.551461894401988
2024-07-17,3.568837393273112
2024-07-18,3.5835763786870136
2024-07-19,3.596078908406734
2024-07-20,3.606684336460492
2024-07-21,3.615680524170088
2024-07-22,3.623311653521593
2024-07-23,3.6297848549552714
2024-07-24,3.635275829471736
2024-07-25,3.6399336176541977
2024-07-26,3.643884645051543
2024-07-27,3.6472361537254137
2024-07-28,3.6500791131031622
