date,actual_forecast
2024-07-01,5.627231536200619
2024-07-02,5.274884421848353
2024-07-03,4.450358758006504
2024-07-04,4.6833778020352685
2024-07-05,4.795577479569949
2024-07-06,4.728209580507518
2024-07-07,4.720083244939486
2024-07-08,4.734690962248219
2024-07-09,4.733331193277652
2024-07-10,4.730788948752994
2024-07-11,4.731560086718305
2024-07-12,4.73189548057821
2024-07-13,4.731679729935947
2024-07-14,4.7316583162475006
2024-07-15,4.731704174977827
2024-07-16,4.731699116652114
2024-07-17,4.7316912937803535
2024-07-18,4.73169383510962
2024-07-19,4.731694833437281
2024-07-20,4.731694143844263
2024-07-21,4.7316940895962265
2024-07-22,4.731694233329236
2024-07-23,4.731694214995791
2024-07-24,4.731694190973454
2024-07-25,4.731694199316901
2024-07-26,4.731694202274485
2024-07-27,4.731694200074574
2024-07-28,4.731694199945297
