date,actual_forecast
2024-07-01,2.8909579234733105
2024-07-02,2.570211842326205
2024-07-03,2.606769324249297
2024-07-04,3.0264248531260978
2024-07-05,3.019622438249705
2024-07-06,3.0527016651219507
2024-07-07,3.112398543409228
2024-07-08,3.120649582521704
2024-07-09,3.134838553711899
2024-07-10,3.144122392480196
2024-07-11,3.144126740033516
2024-07-12,3.1477785328273518
2024-07-13,3.151659792096958
2024-07-14,3.151783986262055
2024-07-15,3.1510241345261623
2024-07-16,3.151778156219485
2024-07-17,3.1529667707112643
2024-07-18,3.152916314427288
2024-07-19,3.152270744185652
2024-07-20,3.152403409377007
2024-07-21,3.152963780603495
2024-07-22,3.152952515129819
2024-07-23,3.1525807437144264
2024-07-24,3.1525848623187347
2024-07-25,3.1528630097264743
2024-07-26,3.152884500174669
2024-07-27,3.1526905614682903
2024-07-28,3.152665484940902
