date,actual_forecast
2024-07-01,3.147674205748181
2024-07-02,3.695981088235696
2024-07-03,3.585111637296796
2024-07-04,4.0425143709251135
2024-07-05,4.182743494366588
2024-07-06,4.268422850985628
2024-07-07,4.415937213223569
2024-07-08,4.472060710674903
2024-07-09,4.5262355692044505
2024-07-10,4.574954835812861
2024-07-11,4.600771503722168
2024-07-12,4.624649496562592
2024-07-13,4.642190578235771
2024-07-14,4.653702773639835
2024-07-15,4.663331401210447
2024-07-16,4.6701114183402455
2024-07-17,4.675008302413648
2024-07-18,4.67882444162442
2024-07-19,4.681539617281899
2024-07-20,4.683560324540853
2024-07-21,4.685078746936341
2024-07-22,4.686178621165109
2024-07-23,4.687000117826209
2024-07-24,4.687608530891128
2024-07-25,4.688054640918009
2024-07-26,4.688386681266511
2024-07-27,4.688631637324745
2024-07-28,4.688812317539629
